miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-130b-5p	Plasma	0.656958725411539	8.20712593885628	2.16783450126586	0.0312847457097862	0.19732620226261	-3.82792836249363	0.551764580445677	83	113
hsa-miR-1-3p	Plasma	0.236220263763778	8.32156894327831	0.766014510595044	0.444519389232978	0.668251002356862	-5.75535611172477	0.503571809361339	83	113
hsa-miR-543	Plasma	0.763581102814233	8.55689158117937	2.59550101707128	0.0101051243345383	0.106691312741404	-2.90276757027171	0.561360486192558	83	113
hsa-miR-152-3p	Plasma	-0.0769138090931915	9.15920896796488	-0.456034855019149	0.648831537209815	0.787619031800149	-5.97857018143698	0.481074741443651	83	113
hsa-miR-30c-5p	Plasma	-0.924034022908829	9.7649556440238	-3.63708700305121	0.000346217257790413	0.0196478293796059	0.0184378072954328	0.329032945943064	83	113
hsa-miR-93-5p	Plasma	0.383570712352649	8.4152514465044	1.4874436462686	0.138382936306073	0.371750609958326	-4.99487047806999	0.55144471692078	83	113
hsa-miR-186-5p	Plasma	0.332357439384978	8.6174458649697	1.43790833965954	0.151933966862497	0.384588309892634	-5.07248539249728	0.537903827700181	83	113
hsa-miR-206	Plasma	0.133273039805253	6.78710884309711	0.33072067139772	0.741181989912947	0.858409753623668	-5.88730281682012	0.50239897643672	83	113
hsa-miR-98-5p	Plasma	-0.285876679817416	8.6713430139918	-1.14265182477108	0.25447148724973	0.511194934563616	-5.42910141219275	0.420620535238298	83	113
hsa-miR-7-5p	Plasma	0.0134991879015259	9.18162826435202	0.0725627978389168	0.942222418336007	0.978436511534072	-6.07725698074392	0.475850303870349	83	113
hsa-miR-106b-3p	Plasma	0.384120374210104	8.96058702915826	1.77387682782008	0.077518416615501	0.283817428576108	-4.58400335986303	0.516579592707112	83	113
hsa-miR-382-5p	Plasma	0.796473366376017	8.92702068539991	2.76974842364425	0.0061074551584219	0.0797726879540363	-2.48721116498116	0.534811813626186	83	113
hsa-miR-125b-5p	Plasma	-0.136271923516099	9.10345419848295	-0.662373650942352	0.508450934419386	0.719117520954521	-5.86334612589028	0.419127838788783	83	113
hsa-miR-17-5p	Plasma	0.257107965686772	7.95547550441758	0.959365090508246	0.338467284996992	0.600250575736852	-5.57640262048072	0.498240750613072	83	113
hsa-miR-4446-3p	Plasma	0.567278190015325	7.88500413126589	1.82540110568463	0.0693470211111477	0.278877938246893	-4.44752169680728	0.537050858300459	83	113
hsa-miR-183-5p	Plasma	-0.283884595934539	9.2268089176772	-1.42042568533865	0.156952247036852	0.387521024881257	-5.12207336761737	0.38575541102463	83	113
hsa-miR-379-5p	Plasma	0.414121063545809	8.10345642362301	1.35112247409255	0.178095809795259	0.417398697591872	-5.16010888536312	0.535664783025909	83	113
hsa-miR-16-5p	Plasma	0.50869502320439	8.09891140231875	1.84235009347687	0.0668199958693713	0.278877938246893	-4.42787875398061	0.517325940931869	83	113
hsa-miR-2110	Plasma	-0.0134564103442149	8.28633353818169	-0.0486323381035377	0.96125806596035	0.979500591729341	-6.02710750063511	0.459963748800512	83	113
hsa-miR-320c	Plasma	0.134909837479384	9.09622842969342	0.518741056516485	0.604482163499203	0.758319994464177	-5.94823801631209	0.507730035184988	83	113
hsa-miR-342-5p	Plasma	0.391485722625214	8.79486432808035	1.80470166936677	0.0725399112574489	0.278877938246893	-4.52401077316281	0.578633116536944	83	113
hsa-miR-335-3p	Plasma	0.502969787395151	7.39508303279593	1.6640034130576	0.0975885711821813	0.318742527458348	-4.6833710646766	0.544940825247894	83	113
hsa-miR-181b-5p	Plasma	0.470165194953579	7.86077451866592	1.86574012585228	0.0634584732035718	0.276848905559867	-4.37537618640583	0.542488538223691	83	113
hsa-miR-330-3p	Plasma	0.261043059928328	7.54618131015142	0.882014642380767	0.378767455916826	0.625310636313596	-5.62009233287603	0.496854675338522	83	113
hsa-miR-1301-3p	Plasma	0.174645043254758	7.69089815613834	0.604825763450131	0.54594133897734	0.737670737784858	-5.82096702012895	0.485872694317091	83	113
hsa-miR-485-5p	Plasma	0.616129779101066	8.0854340356442	2.1851019817546	0.0299768599416011	0.197239049470825	-3.78739388728434	0.557522123893805	83	113
hsa-miR-182-5p	Plasma	-0.187480162798762	9.43106767395398	-0.97018837022229	0.333057764211378	0.596152629944926	-5.64437357225543	0.426697942211323	83	113
hsa-miR-363-3p	Plasma	-0.442033390244605	8.54703368695431	-2.13386167616603	0.0340023868134164	0.203119521227514	-3.90135866298888	0.363578206631837	83	113
hsa-miR-139-5p	Plasma	0.71507811106441	7.60757842688246	2.56211237859269	0.0110971609023692	0.111958023326124	-2.94665758898209	0.567864377865444	83	113
hsa-miR-941	Plasma	-0.0112801243282162	8.1326564388233	-0.0473979458915375	0.962240669408119	0.979500591729341	-6.01649752832867	0.451540675978249	83	113
hsa-miR-29a-3p	Plasma	0.00358654839708097	8.17804618725851	0.0173552322166087	0.986169539400254	0.989662085871115	-6.02003352841872	0.483100543767992	83	113
hsa-miR-144-3p	Plasma	0.732100348987336	7.92277046938243	2.39640083606322	0.017425057749468	0.149263702231292	-3.33552064757857	0.55901482034332	83	113
hsa-miR-493-5p	Plasma	0.5810847400701	6.82339459428786	1.78029863735158	0.0764587402507951	0.282213561576105	-4.47101942788025	0.543767992323275	83	113
hsa-miR-197-3p	Plasma	-0.0970408727345946	6.23008482576253	-0.297356697776039	0.766485255955881	0.874332427648166	-5.86166203553329	0.475210576820557	83	113
hsa-miR-142-5p	Plasma	0.769935448289292	7.32104405659168	2.57067709393451	0.0108347080113656	0.111794487208182	-2.91671364531614	0.582258236485766	83	113
hsa-miR-193a-5p	Plasma	-0.402667852225013	7.9034283322888	-1.09123641185428	0.276407046314521	0.533994889475712	-5.44082558144138	0.449834737178804	83	113
hsa-miR-664a-5p	Plasma	-0.174308099472137	7.19485218296684	-0.598419792295157	0.550198429656975	0.741216875561622	-5.79204360899107	0.45335323595266	83	113
