sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
EXR-KJENS1RID1-AN.sample_Sample_B_022_BC01_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	5413564	Plasma	12994754	5413564	False
EXR-KJENS1RID1-AN.sample_Sample_B_022_GC17_GATCAG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	21871	Plasma	834485	21871	True
EXR-KJENS1RID1-AN.sample_Sample_B_023_PC02_CATTTT_R1_001_fastq	EXR-KJENS1RID1-AN	1296843	Plasma	3591892	1296843	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_BC01_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	909954	Plasma	4356840	909954	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC01_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	2420925	Plasma	8557947	2420925	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC02_Yr2_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	2669658	Plasma	12034730	2669658	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC04_Yr2_GTGAAA_R1_001_fastq	EXR-KJENS1RID1-AN	2166351	Plasma	7363791	2166351	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC05_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	13996865	Plasma	27716439	13996865	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC06_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	4917008	Plasma	14300099	4917008	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC07_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	1478957	Plasma	3872465	1478957	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC08_Yr2_CACGAT_R1_001_fastq	EXR-KJENS1RID1-AN	2582153	Plasma	9601757	2582153	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC09_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	5317372	Plasma	11348834	5317372	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC10_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	591195	Plasma	2779522	591195	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC11_Yr2_AGTTCC_R1_001_fastq	EXR-KJENS1RID1-AN	820526	Plasma	2586312	820526	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_GC12_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	1145607	Plasma	7770934	1145607	False
EXR-KJENS1RID1-AN.sample_Sample_B_024_PC02_CCGTCC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	20664	Plasma	369273	20664	True
EXR-KJENS1RID1-AN.sample_Sample_B_025_BC01_Yr2_GTCCGC_R1_001_fastq	EXR-KJENS1RID1-AN	2349168	Plasma	7913751	2349168	False
EXR-KJENS1RID1-AN.sample_Sample_B_025_GC03_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	3147320	Plasma	6254934	3147320	False
EXR-KJENS1RID1-AN.sample_Sample_B_029_BC01_Yr2_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	1850513	Plasma	8224945	1850513	False
EXR-KJENS1RID1-AN.sample_Sample_B_029_GC03_Yr2_TACAGC_R1_001_fastq	EXR-KJENS1RID1-AN	2954870	Plasma	12407774	2954870	False
EXR-KJENS1RID1-AN.sample_Sample_B_030_BC01_Yr2_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	1027438	Plasma	5748192	1027438	False
EXR-KJENS1RID1-AN.sample_Sample_B_030_GC02_Yr2_CAACTA_R1_001_fastq	EXR-KJENS1RID1-AN	1559904	Plasma	8195797	1559904	False
EXR-KJENS1RID1-AN.sample_Sample_B_030_GC03_Yr2_ACTGAT_R1_001_fastq	EXR-KJENS1RID1-AN	2149666	Plasma	8932024	2149666	False
EXR-KJENS1RID1-AN.sample_Sample_B_030_GC07_Yr2_TAATCG_R1_001_fastq	EXR-KJENS1RID1-AN	1394684	Plasma	7041919	1394684	False
EXR-KJENS1RID1-AN.sample_Sample_B_031_BC01_TTAGGC_R1_001_fastq	EXR-KJENS1RID1-AN	845316	Plasma	7653269	845316	False
EXR-KJENS1RID1-AN.sample_Sample_B_031_BC01_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	530375	Plasma	4050348	530375	False
EXR-KJENS1RID1-AN.sample_Sample_B_031_GC01_Yr2_TAATCG_R1_001_fastq	EXR-KJENS1RID1-AN	2272480	Plasma	7913591	2272480	False
EXR-KJENS1RID1-AN.sample_Sample_B_031_GC15_GTTTCG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	209848	Plasma	13367214	209848	False
EXR-KJENS1RID1-AN.sample_Sample_B_031_GC16_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	1471926	Plasma	9234187	1471926	False
EXR-KJENS1RID1-AN.sample_Sample_B_036_BC01_Yr2_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	3855203	Plasma	13758060	3855203	False
EXR-KJENS1RID1-AN.sample_Sample_B_036_GC05_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	5600207	Plasma	7665206	5600207	False
EXR-KJENS1RID1-AN.sample_Sample_B_039_BC01_TGACCA_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	878537	Plasma	5598580	878537	False
EXR-KJENS1RID1-AN.sample_Sample_B_039_BC01_Yr2_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	209271	Plasma	2153419	209271	False
EXR-KJENS1RID1-AN.sample_Sample_B_039_GC06_ATGAGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	598386	Plasma	2060214	598386	False
EXR-KJENS1RID1-AN.sample_Sample_B_039_GC09_Yr2_GATCAG_R1_001_fastq	EXR-KJENS1RID1-AN	683045	Plasma	3942496	683045	False
EXR-KJENS1RID1-AN.sample_Sample_B_042_BC01_GAGTGG_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	424270	Plasma	11045331	424270	False
EXR-KJENS1RID1-AN.sample_Sample_B_044_BC01_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	1287719	Plasma	3879936	1287719	False
EXR-KJENS1RID1-AN.sample_Sample_B_044_GC16_CTTGTA_R1_001_fastq	EXR-KJENS1RID1-AN	1259616	Plasma	3628036	1259616	False
EXR-KJENS1RID1-AN.sample_Sample_B_045_BC01_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	839603	Plasma	6069726	839603	False
