miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-134-5p	Serum	2	TTUSC,LLAUR	1.0675	0.6853	0.6777	0.0014			0.8336	0.6929	1.3013	0.6777
hsa-miR-221-3p	Serum	2	TTUSC,LLAUR	0.6458	0.6846	0.6775	0.0017			0.4467	0.6917	0.8450	0.6775
hsa-miR-151a-3p	Serum	2	TTUSC,LLAUR	0.3349	0.6770	0.6554	0.0220			0.3178	0.6986	0.3519	0.6554
hsa-miR-381-3p	Serum	2	TTUSC,LLAUR	1.0067	0.6757	0.6329	0.0136			1.0800	0.7186	0.9333	0.6329
hsa-miR-181a-5p	Serum	2	TTUSC,LLAUR	0.4796	0.6740	0.6330	0.0237			0.4476	0.7150	0.5117	0.6330
hsa-miR-4433b-3p	Serum	2	TTUSC,LLAUR	1.3878	0.6735	0.6236	0.0081			1.7040	0.7235	1.0716	0.6236
hsa-miR-28-3p	Serum	2	TTUSC,LLAUR	0.4399	0.6710	0.6558	0.0478			0.5192	0.6863	0.3606	0.6558
hsa-miR-26b-5p	Serum	2	TTUSC,LLAUR	0.5178	0.6654	0.6378	0.0307			0.5358	0.6929	0.4997	0.6378
hsa-miR-146b-5p	Serum	2	TTUSC,LLAUR	0.5291	0.6637	0.6478	0.0221			0.5141	0.6796	0.5441	0.6478
hsa-miR-1-3p	Serum	2	TTUSC,LLAUR	0.8578	0.6634	0.6492	0.0013			0.5246	0.6492	1.1910	0.6776
hsa-miR-126-3p	Serum	2	TTUSC,LLAUR	0.9320	0.6368	0.6087	0.0012			0.2820	0.6087	1.5821	0.6648
hsa-miR-485-5p	Serum	2	TTUSC,LLAUR	0.8559	0.6367	0.6090	0.0203			0.9361	0.6644	0.7758	0.6090
hsa-miR-1246	Serum	2	TTUSC,LLAUR	0.5962	0.6152	0.5985	0.0461			0.5694	0.5985	0.6229	0.6320
hsa-miR-139-3p	Serum	2	TTUSC,LLAUR	0.7019	0.6085	0.5928	0.0190			0.4340	0.5928	0.9699	0.6241
hsa-miR-30c-2-3p	Urine	2	KJENS,LLAUR	6.8363	0.9806	0.9620	0.0000	7.3993	0.9992			6.2732	0.9620
hsa-miR-204-5p	Urine	2	KJENS,LLAUR	8.3356	0.9785	0.9734	0.0000	7.3691	0.9734			9.3021	0.9837
hsa-miR-30a-3p	Urine	2	KJENS,LLAUR	5.8889	0.9709	0.9477	0.0000	6.9369	0.9941			4.8409	0.9477
hsa-miR-200b-3p	Urine	2	KJENS,LLAUR	7.2696	0.9494	0.9196	0.0000	6.3434	0.9196			8.1957	0.9792
hsa-miR-204-3p	Urine	2	KJENS,LLAUR	6.0597	0.9453	0.9166	0.0000	4.0350	0.9166			8.0843	0.9741
hsa-miR-200a-3p	Urine	2	KJENS,LLAUR	5.7989	0.9401	0.9173	0.0000	5.6501	0.9173			5.9478	0.9630
hsa-miR-200a-5p	Urine	2	KJENS,LLAUR	6.0718	0.9394	0.9030	0.0000	4.2576	0.9030			7.8860	0.9759
hsa-miR-30a-5p	Urine	2	KJENS,LLAUR	4.6673	0.9324	0.8785	0.0000	5.8229	0.9863			3.5118	0.8785
hsa-miR-429	Urine	2	KJENS,LLAUR	6.0657	0.9322	0.9009	0.0000	5.6028	0.9009			6.5285	0.9635
hsa-miR-200b-5p	Urine	2	KJENS,LLAUR	5.3698	0.9234	0.8766	0.0000	3.9437	0.8766			6.7960	0.9701
hsa-miR-99a-5p	Urine	2	KJENS,LLAUR	3.4433	0.9196	0.8965	0.0000	3.3521	0.9428			3.5346	0.8965
hsa-miR-10b-3p	Urine	2	KJENS,LLAUR	4.2915	0.9194	0.8891	0.0000	4.1569	0.9497			4.4262	0.8891
hsa-miR-10a-3p	Urine	2	KJENS,LLAUR	3.7192	0.9112	0.8793	0.0000	3.5440	0.9430			3.8944	0.8793
hsa-miR-615-3p	Urine	2	KJENS,LLAUR	4.3035	0.9103	0.8717	0.0000	4.4644	0.9489			4.1425	0.8717
