	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	biofluid
sample_BFPME3_81_S114_L003_R1_001_115_180_fastq	-7.329918688713884	-1.6030818959810482	1.2194136649187812	-2.9931986380381637	-7.451975179846489	-1.571030224497011	-2.0972367549141553	-0.8782298998841815	1.7261168570078487	-0.78818826228669	Plasma
sample_BFPMillipore1_67_fastq	6.193160131794757	-0.8082071071119487	-0.9332266740273434	-4.419822520586373	1.6549949399806672	2.227277982525587	-2.430297278222797	1.8773698803821837	-1.457803359590812	-2.225475932278061	Plasma
sample_BFPMillipore2_68_S102_L003_R1_001_115_180_fastq	3.4724804359247905	0.014779587189112549	2.1751522757962025	-6.476498273404465	-1.7998723725142995	-1.4232224839792564	-2.3981288029340067	1.0656136785155141	-3.4770598382144318	-2.7135294226297275	Plasma
sample_BFPMillipore3_69_S103_L003_R1_001_115_180_fastq	0.656342098603369	-1.0529644961804798	7.165228357253123	-9.399061848756325	2.7618072222415173	-1.0402373172258175	-4.751478316854433	0.7014635518549851	-1.1593328546594868	-1.4684664410040205	Plasma
sample_BFPUltra1_73_fastq	-1.9495154012979048	-1.768738636564736	0.30485355620712506	1.105014006140021	-7.5076094013178185	-1.2838276014856187	-2.5775508307956634	1.6984670457847408	-1.2662315409148408	-0.3422626169693242	Plasma
sample_BFPUltra2_74_S108_L003_R1_001_115_180_fastq	0.9555551977586956	4.114867534203185	8.16678870734233	11.09295796439456	-3.811620586928866	0.012267723119057525	-1.2075688920502288	-1.5703887771576752	-0.807302523586427	0.10634064525798428	Plasma
sample_BFPUltra3_75_S109_L003_R1_001_115_180_fastq	2.2836405602076333	-1.5609316544888918	1.5678769372191663	-0.27223985459767797	-7.74471107988329	-1.391053638791348	-0.8292686749905316	4.252967787150934	-1.1634861019824783	2.3464630644875033	Plasma
sample_BFPmiRCury1_91_S124_L003_R1_001_115_180_fastq	-5.054587671455328	-0.3869775795296108	1.5277267175784528	-1.3743152994002286	-6.726217761358623	5.707502494008986	1.420046205213799	0.02267313756937075	0.9100631222663673	-3.0929556830323075	Plasma
sample_BFPmiRCury2_92_S125_L003_R1_001_115_180_fastq	-8.290833739438492	-0.7466938170416257	3.2581310231854728	-0.5059896474652167	-7.287764898872113	2.604629302590939	1.8261050321447083	0.7034205943163793	0.033623754742576215	-2.4892869401794853	Plasma
sample_BFPmiRCury3_93_S126_L003_R1_001_115_180_fastq	-10.887571291584445	-1.4904383935216252	2.231346189158272	-2.028242244915197	-6.05644051629636	3.4690631102249934	2.4766724455444313	0.35500235083362675	3.569607095872729	-4.020261485896358	Plasma
sample_BFPmiRNeasy1_61_S104_L007_R1_001_125_160_fastq	-13.703819391806897	-4.6829299512467	12.194683960298569	-3.0302728273864354	6.337652044839047	-3.94987169263499	5.3343202087250905	6.305425245291544	6.489713430012563	7.160765039377805	Plasma
sample_BFPmiRNeasy2_62_S98_L003_R1_001_115_180_fastq	-28.627874498895263	-14.411436897910724	0.07487647446757341	5.6096586089621585	1.4279549484788594	1.8213858771994118	-0.9264686858222503	-0.5579848877007035	-0.6409790584871959	0.7929565771400111	Plasma
sample_BFPmiRNeasy3_63_S152_L008_R1_001_125_160_fastq	5.418262204696708	0.36092865352240106	3.8256406324746024	-7.929086321310749	5.091372640703838	-2.560942497037991	-2.67882977192047	-3.1388888689132988	-0.15794018530190584	2.007163443041539	Plasma
sample_BFSExiqon1_7_S6_L005_R1_001_125_160_fastq	10.28355811550795	-2.746694002848725	-3.3601705320525816	-2.4003790412589634	4.3220708252012745	0.26424195757966157	-4.098349874797127	1.5385018050765225	4.97141353429159	-1.0810179556193877	Serum
sample_BFSExiqon2_8_S7_L005_R1_001_125_160_fastq	9.806643770315299	-2.3232881901270512	-3.3151063529029683	-1.7358929984440103	3.2056795386806143	0.510083956496935	-4.468591409336878	1.4414631157370874	5.112345496320841	-0.9386512844436181	Serum
sample_BFSExiqon3_9_S8_L005_R1_001_125_160_fastq	10.550670661907171	-2.574832939062685	-3.729258191550673	-0.8053028289033032	3.573184073582811	1.0015110766704314	-3.1229884700517134	-0.24310622542491084	3.70247914258776	-2.084851501730042	Serum
sample_BFSExoQuick1_37_S36_L005_R1_001_125_160_fastq	8.260076213020369	-0.9091192259196065	-0.43074832344564157	-3.1180357171078907	-0.10278573967038053	1.4922334911466004	1.3908291181971606	-4.6207629528550545	1.4856373474198548	4.559389636211336	Serum
sample_BFSExoQuick2_38_S37_L005_R1_001_125_160_fastq	9.883769133807165	-0.6046870977264112	-2.023808024343097	-1.5490249228752033	1.866550160408901	3.512433879215383	1.7079320102450086	-5.317789498793898	-1.6695500156018306	1.214704520585762	Serum
