sample_id	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_BMSExoQuick3_42_S41_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1046262.9999999999	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_BMSExoRNeasy2_5_S4_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1513429.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSExoRNeasy3_6_S5_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2384237.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSME1_34_fastq	EXR-LLAUR1AVB5CS-AN	173040.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSME2_35_fastq	EXR-LLAUR1AVB5CS-AN	92395.99999999997	Serum	PASS	miRNeasy (Qiagen)			True
sample_BMSME3_36_S35_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	421999.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSMillipore1_22_S21_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	391911.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSMillipore2_23_S22_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	344203.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSMillipore3_24_S23_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	361589.99999999994	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSUltra1_28_S27_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1263880.9999999998	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSUltra2_29_S28_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1800722.9999999998	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSUltra3_30_S29_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1452090.9999999995	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSmiRCury1_46_S45_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	58356.0	Serum	PASS	Other			True
sample_BMSmiRCury2_47_S178_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	114004.0	Serum	PASS	Other			False
sample_BMSmiRNeasy1_16_S153_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	154172.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSmiRNeasy2_17_S108_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	412955.00000000006	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMSmiRNeasy3_18_Idx2_S193_L001_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	22513.999999999996	Serum	PASS	miRNeasy (Qiagen)			True
sample_BMSmiRNeasy3_18_S155_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	74603.99999999997	Serum	FAIL	miRNeasy (Qiagen)			True
sample_DFPExoRNeasy1_177_fastq	EXR-LLAUR1AVB5CS-AN	447592.00000000006	Plasma	PASS	miRNeasy (Qiagen)			False
sample_DFPmiRNeasy1_181_S169_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	663789.9999999999	Plasma	PASS	miRNeasy (Qiagen)			False
sample_DMPExiqon1_180_fastq	EXR-LLAUR1AVB5CS-AN	124074.00000000001	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_DMPExoRNeasy1_178_fastq	EXR-LLAUR1AVB5CS-AN	682136.0000000001	Plasma	PASS	miRNeasy (Qiagen)			False
sample_GFPExiqon1_123_fastq	EXR-LLAUR1AVB5CS-AN	1473737.0000000002	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_GFPExoRNeasy1_121_fastq	EXR-LLAUR1AVB5CS-AN	2404322.0000000005	Plasma	PASS	miRNeasy (Qiagen)			False
sample_GFPME1_131_fastq	EXR-LLAUR1AVB5CS-AN	214810.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_GFPNor1_133_fastq	EXR-LLAUR1AVB5CS-AN	1976007.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFPNor2_134_fastq	EXR-LLAUR1AVB5CS-AN	2466586.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFPNor3_135_S170_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	32324.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True
sample_GFPNor_Ami1_139_fastq	EXR-LLAUR1AVB5CS-AN	453515.99999999994	Plasma	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFPNor_Ami2_140_fastq	EXR-LLAUR1AVB5CS-AN	323426.00000000006	Plasma	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFPNor_Ami3_141_fastq	EXR-LLAUR1AVB5CS-AN	473516.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFPUltra1_129_S166_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	380071.9999999998	Plasma	PASS	miRNeasy (Qiagen)			False
sample_GFPmiRNeasy1_125_S164_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	296987.99999999965	Plasma	PASS	miRNeasy (Qiagen)			False
sample_GFSME1_107_S148_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	187538.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_GFSNor1_109_S59_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	846095.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_GFSNor2_110_S60_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	763810.0000000001	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
