miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-99b-5p	Plasma	-0.379220979107707	9.53511495823831	-2.78263553617241	0.00561712999972266	0.00654078808763116	-4.09879906831083	0.412208781362007	180	248
hsa-miR-345-5p	Plasma	1.25784086407743	7.42042979344485	11.0517848222907	2.64701242236079e-25	6.24818048534001e-25	46.2029796146097	0.790568996415771	180	248
hsa-miR-30b-5p	Plasma	-0.0265630787401255	8.4946620248584	-0.18461785249963	0.853611369072254	0.862105014535659	-7.90370667029845	0.516756272401434	180	248
hsa-miR-32-5p	Plasma	-0.107103575380822	4.23333979651038	-0.616253746382106	0.538036473939179	0.551623253584108	-7.68743912058801	0.488172043010753	180	248
hsa-miR-1307-3p	Plasma	1.44673673052883	8.42096676582415	11.3859417725101	1.37610378899379e-26	3.44527318098575e-26	49.1246286666344	0.815255376344086	180	248
hsa-miR-454-3p	Plasma	1.73585792269751	5.33744178864792	9.17354399127213	1.6198797229172e-18	3.12185680777398e-18	30.7277265292964	0.750560035842294	180	248
hsa-miR-181c-5p	Plasma	1.29373532770701	8.23810545272554	10.1863555483311	4.4227470424802e-22	9.35226718357792e-22	38.831010149977	0.777643369175627	180	248
hsa-let-7e-5p	Plasma	-1.91501954968587	9.76177886195373	-10.579564692876	1.5864235720065e-23	3.56506256587439e-23	42.1136374848259	0.222379032258065	180	248
hsa-miR-30e-3p	Plasma	-0.694932224445257	8.82295936681499	-5.11310319810674	4.68431058531553e-07	6.25602005802008e-07	4.79484639496054	0.352822580645161	180	248
hsa-miR-769-5p	Plasma	1.97148925195839	8.41017314867089	12.1718332870399	1.09517150520014e-29	3.05944700305911e-29	56.2124548321641	0.841039426523297	180	248
hsa-miR-28-5p	Plasma	1.18972673476989	7.38408866159659	9.0380762183771	4.65220708676232e-18	8.85373161199454e-18	29.6732662739098	0.759408602150538	180	248
hsa-miR-205-5p	Plasma	-6.16812551754328	6.52979763783783	-26.796593207219	1.7338100584318e-95	2.85375763671613e-94	207.244776289013	0.0275313620071685	180	248
hsa-miR-340-5p	Plasma	1.13294079512645	7.82061283626132	6.42683862281765	3.30456298152709e-10	4.98138330631188e-10	11.8673171321916	0.690568996415771	180	248
hsa-miR-183-5p	Plasma	-0.888970128437309	5.43079899583037	-5.72064636883098	1.93022441351892e-08	2.73373643682098e-08	7.93642420376773	0.338037634408602	180	248
